zone no.,zone area(km^2),zone area(m^2),center x(m),center y(m),congestion
1,0,0,139382.3437,146047.0951,0
2,0,0,157688.4185,148489.031,0
3,0,0,149441.1622,167278.6394,0
4,0,0,131764.713,162103.0925,0
791,1.0999,1099900,146277,149377.05,4.48
792,1.72968,1729680,148037.42,149443.9,6.57
793,2.08295,2082950,141732.23,149908.02,6.79
794,1.40976,1409760,146343.98,150237.09,6.53
795,1.05233,1052330,143903.27,150127.84,5.33
796,1.5041,1504100,145062.68,150092.55,6.35
797,1.45598,1455980,142863.27,150030.94,6.64
798,2.21977,2219770,139998.81,150082.72,6.78
799,2.21551,2215510,149198.46,149918.92,6.41
800,0.698477,698477,143976.3,151159.16,6.79
801,1.24976,1249760,141546.87,151107.9,7.03
802,1.02762,1027620,142646.6,151242.96,6.96
803,1.8403,1840300,146813.38,151435.82,6.53
804,2.07282,2072820,145146.77,151489.56,6.08
805,2.22723,2227230,147951.68,151173.07,6.42
806,0.76776,767760,143800.1,151838.39,6.64
807,1.15631,1156310,142199.94,151897.77,7.22
808,3.32411,3324110,149214.81,151472.23,6.49
809,1.01302,1013020,144302.05,152239.5,6.5
810,0.551639,551639,140808.2,152432.47,5.4
811,0.594429,594429,143106.67,152356.13,7.23
812,2.91143,2911430,151500.72,152128.32,6.33
813,3.81063,3810630,139366.74,151652.59,6.71
814,1.0311,1031100,140416.57,152146.08,8.01
815,0.93738,937380,141612.02,152424.78,8.13
816,0.80786,807860,145313.21,152711.95,6.28
817,0.481672,481672,142147.44,152788.09,7.44
818,0.516613,516613,143839.8,153020.83,7.71
819,0.730858,730858,142733.35,153099.59,8.18
820,0.599673,599673,143678.06,153444.64,9.21
821,1.4383,1438300,145035.99,153315.7,7.27
822,4.22407,4224070,147188.79,152823.15,6.29
823,1.41888,1418880,140309.15,153473.78,7.21
824,1.56458,1564580,146543.68,153913.78,6.78
825,3.73639,3736390,151449.44,153764.25,6.26
826,3.97479,3974790,149366.89,153648.05,6.32
827,1.88011,1880110,141339.45,153959.72,6.87
828,1.8154,1815400,144690.98,154316.99,6.09
829,3.09574,3095740,149026.56,154716.68,6.1
830,2.96373,2963730,142144.79,154597.26,6.95
831,0.857261,857261,147066.4,155149.29,7.63
832,0.701876,701876,149088.16,155678.19,6.99
833,2.15647,2156470,143191.86,155025.21,6.9
834,3.29661,3296610,144403.29,155930.01,6.72
835,3.68917,3689170,146013.29,155683.12,6.71
836,1.08202,1082020,146935.26,156555.27,6.69
837,2.33987,2339870,147771.44,156163.04,6.61
838,2.28435,2284350,148886.18,156757.98,6.13
839,1.54207,1542070,149951.9,157738.28,7.76
840,5.03772,5037720,150870.25,156890.84,6.12
841,0.831737,831737,138760.28,153074.01,7.28
842,1.84288,1842880,138393.68,154240.89,6.72
843,2.09311,2093110,139465.51,154309.73,6.62
844,0.756723,756723,137872.62,155016.21,7.66
845,0.377109,377109,139064.12,155217.43,9.14
846,0.317139,317139,138015.18,155514.96,10.94
847,1.20173,1201730,140500.84,155007.68,7.14
848,0.585205,585205,138793.52,155638.19,9.21
849,0.58307,583070,139842.82,155778.7,7.36
850,0.540932,540932,138989.32,156131.45,8.03
851,0.251213,251213,139881.78,156200.28,10.2
852,1.96525,1965250,137348.14,155938.46,6.6
853,0.871552,871552,139202.45,156601.01,7.07
854,6.03257,6032570,141521.17,156506.1,6.03
855,2.08167,2081670,143425.75,157339.4,6.45
856,1.48257,1482570,144718.68,157602.56,6.41
857,2.72525,2725250,137889.68,157781.66,6.39
858,3.41281,3412810,136656.23,157553.55,6.32
859,3.89381,3893810,139713.81,158198.05,6.32
860,2.04518,2045180,142527.76,158312.97,6.41
861,0.928985,928985,144512.67,158820.03,7.28
862,0.991851,991851,135607.1,159148.92,7.36
863,2.34944,2349440,142990.55,159397.09,6.68
864,0.676652,676652,144348.86,159828.82,6.62
865,3.82263,3822630,143385.22,160463.48,5.93
866,2.94285,2942850,141629.71,160163.65,2.93
867,2.55062,2550620,140522.99,160396.75,6.93
868,7.33121,7331210,137404.8,160392.03,6.27
869,3.91183,3911830,139356.85,160405.17,6.32
870,1.25663,1256630,145961.77,157814.67,6.42
871,1.13472,1134720,147221.06,157904.41,5.28
872,0.920252,920252,149007.88,158255.23,6.26
873,0.984825,984825,147900.64,158283.67,6.23
874,1.19439,1194390,150211.94,158547.64,4.06
875,1.1332,1133200,145488.59,158833.25,7.48
876,0.611854,611854,148375.72,159294.26,7.39
877,0.87682,876820,149100.78,159241.67,8.01
878,0.429337,429337,145614.26,159480.68,8.14
879,3.13677,3136770,150413.22,159364.66,5.92
880,4.412,4412000,146987.68,159418.21,8.69
881,1.4624,1462400,145693.65,160063.07,6.46
882,0.758176,758176,148723.84,160336.69,7.07
883,2.63654,2636540,146444.34,161044.58,6.24
884,4.54422,4544220,149877.22,161091.04,6.26
885,0.847727,847727,156650.53,160402.73,6.68
886,2.95428,2954280,154830.09,160255.05,6.73
887,1.038,1038000,155780.61,161155.06,7.27
888,0.247467,247467,155973.69,161520.81,11.54
889,0.269078,269078,155757.62,161698.63,8.7
890,8.70943,8709430,153146.97,160216.47,6.04
891,3.03517,3035170,155477.37,162651.13,6.08
892,3.4433,3443300,164429.87,163489.97,6.17
893,7.17516,7175160,158431.25,162322.4,6.15
894,10.4593,10459300,158487.34,164413.38,5.94
895,12.4925,12492500,154680.75,164650.33,1.33
896,24.2219,24221900,169251.06,165333.16,3.91
897,10.5661,10566100,165295.96,166307.48,4.92
898,7.22554,7225540,157354.7,166956.66,5.94
899,11.9462,11946200,163428.02,166293.35,6.04
900,12.0177,12017700,161442.73,165833.17,5.94
